# τ	Fs	F	Δζ	ΔG	Δr²
0.0	1.0	1.0	3588.583137130836	403.98948828954866	0.0
3.125e-7	0.9999838611727643	0.9999949934350096	3586.835128155511	403.79353963123197	3.125e-7
6.25e-7	0.9999677277239635	0.9999899884827758	3585.0885840840965	403.59776144592934	6.248247762140073e-7
9.375000000000001e-7	0.9999516047647925	0.9999849867289227	3583.343610499182	403.4021619184764	9.367993738108312e-7
1.25e-6	0.9999354922850698	0.9999799881703637	3581.6002057172122	403.20674085487207	1.248424257857294e-6
1.5625e-6	0.9999193902730042	0.9999749928035127	3579.85836803304	403.01149806045044	1.5596999909148676e-6
1.8750000000000003e-6	0.9999032987168193	0.999970000624788	3578.1180957435895	402.8164333407803	1.8706271346248264e-6
2.1875000000000002e-6	0.9998872176047539	0.9999650116306127	3576.379387147851	402.62154650166576	2.181206249654743e-6
2.5e-6	0.9998711469250623	0.9999600258174145	3574.6422405468884	402.42683734914567	2.4914378957001933e-6
2.8125e-6	0.9998550866660142	0.9999550431816259	3572.906654243823	402.2323056894932	2.8013226314864915e-6
3.125e-6	0.9998390368158945	0.9999500637196834	3571.1726265438388	402.0379513292158	3.11086101477042e-6
3.4375e-6	0.9998229973630033	0.9999450874280291	3569.4401557541855	401.84377407505445	3.420053602341958e-6
3.7500000000000005e-6	0.9998069682956561	0.9999401143031091	3567.7092401841555	401.64977373398415	3.7289009500260054e-6
4.0625000000000005e-6	0.9997909496021835	0.9999351443413742	3565.9798781451086	401.45595011321274	4.037403612684105e-6
4.3750000000000005e-6	0.9997749412709315	0.9999301775392799	3564.2520679504482	401.262303020181	4.3455621442161605e-6
4.6875000000000004e-6	0.999758943290261	0.9999252138932865	3562.5258079156233	401.06883226256264	4.653377097562152e-6
5.0e-6	0.9997429556485484	0.9999202533998583	3560.801096358135	400.8755376482633	4.960849024703846e-6
5.3125e-6	0.9997269851158849	0.999915298141297	3559.0782968438175	400.68245646385026	5.267750999143049e-6
