# t	global_u	local_u	bI	η	τs	τc	γI	Λ	∂Λ	idx
0.0	0.0	0.0	19.220899798956268	3.493424174371948	0.14336000000000002	0.55296	0.0	1.688013566738928e-15	-6.717111536035421e-14	0.0
1.0e-6	5.2026700646673256e-8	5.2026700646673256e-8	10.015108204393174	2.489373238540974	0.08704	0.30720000000000003	0.0	-11.391616821482204	1029.1172938187578	1.0
1.5848931924611134e-6	1.1042778633884254e-7	1.1042778633884254e-7	10.015851088215525	2.4894896008650362	0.08704	0.30720000000000003	0.0	-11.391014918982945	1028.9684774509594	2.0
2.51188643150958e-6	2.0298040427254473e-7	2.0298040427254473e-7	10.017028473533125	2.4896740222833498	0.08704	0.30720000000000003	0.0	-11.390061125400132	1028.732686471301	3.0
3.981071705534972e-6	3.4964917714338716e-7	3.4964917714338716e-7	10.018894487840507	2.489966309419482	0.08704	0.30720000000000003	0.0	-11.388549860163435	1028.3591513491313	4.0
6.309573444801933e-6	5.820602223034057e-7	5.820602223034057e-7	10.021851881439623	2.4904295504463407	0.08704	0.30720000000000003	0.0	-11.386155659661577	1027.767560781232	5.0
9.999999999999999e-6	9.502982085415282e-7	9.502982085415282e-7	10.026538952022577	2.4911637314835353	0.08704	0.30720000000000003	0.0	-11.382363601038078	1026.831011593285	6.0
1.584893192461113e-5	1.53364326435775e-6	1.53364326435775e-6	10.033967166225159	2.4923273087211273	0.08704	0.30720000000000003	0.0	-11.376359848212507	1025.3493439188155	7.0
2.5118864315095795e-5	2.4574984292109623e-6	2.4574984292109623e-6	10.045739408812771	2.494171400520729	0.08704	0.30720000000000003	0.0	-11.366860220613695	1023.007721518537	8.0
3.9810717055349735e-5	3.9199943334313425e-6	3.9199943334313425e-6	10.064395336247232	2.4970939375215053	0.08704	0.30720000000000003	0.0	-11.351843580908836	1019.3131638744851	9.0
6.309573444801932e-5	6.233597547010192e-6	6.233597547010192e-6	10.093958017028593	2.50172540211262	0.08704	0.30720000000000003	0.0	-11.328141903469334	1013.4992565731452	10.0
9.999999999999999e-5	9.889672348363919e-6	9.889672348363919e-6	10.140797669911858	2.5090644155589024	0.08704	0.30720000000000003	0.0	-11.290821650397216	1004.3881289136622	11.0
0.00015848931924611142	1.5657396066947864e-5	1.5657396066947864e-5	10.214992311645675	2.5206916042714056	0.08704	0.30720000000000003	0.0	-11.23227892699628	990.2029815313919	12.0
0.00025118864315095795	2.4732226578485696e-5	2.4732226578485696e-5	10.332457194212678	2.53910497993525	0.08704	0.31744	0.0	-11.140985910991983	968.344223590807	13.0
0.0003981071705534973	3.8951354191695654e-5	3.8951354191695654e-5	10.518232231803772	2.5682393608309697	0.09216	0.31744	0.0	-10.999922026773875	935.1985235989971	14.0
0.000630957344480193	6.108912114673884e-5	6.108912114673884e-5	10.811412686744882	2.6142497229639687	0.09216	0.32768	0.0	-10.785007942076072	886.1747107961459	15.0
0.001	9.522366639190042e-5	9.522366639190042e-5	11.27214079342738	2.686632807835978	0.09728	0.32768	0.0	-10.46448767433765	816.3625082840043	16.0
0.0015848931924611139	0.000147112052385283	0.000147112052385283	11.990556065419208	2.7996912159398066	0.1024	0.34816	0.0	-10.001209311634696	722.3477370363389	17.0
0.00251188643150958	0.00022442233174104338	0.00022442233174104338	13.096611430040143	2.9742107336954025	0.11264	0.38912	0.0	-9.360505747775166	605.279160625771	18.0
0.003981071705534973	0.00033660289706311387	0.00033660289706311387	14.769799477691889	3.239276275957583	0.12288000000000002	0.43008	0.0	-8.52485528472207	473.65895580932255	19.0
0.00630957344480193	0.0004942557983624101	0.0004942557983624101	17.25270049210744	3.6349439570256825	0.14848	0.512	0.0	-7.510562342865598	342.60377500977773	20.0
0.01	0.0007081600829053616	0.0007081600829053616	20.879748040941596	4.217672172026081	0.17408	0.6144000000000001	0.0	-6.374730386707294	228.1171427184065	21.0
0.01584893192461114	0.0009882847239279634	0.0009882847239279634	26.127013577940644	5.069560790393456	0.21504	0.77824	0.0	-5.203347184330541	140.21332929768516	22.0
0.025118864315095822	0.001343087325565963	0.001343087325565963	33.6657257575435	6.30887444780153	0.28672000000000003	0.9830400000000001	0.0	-4.085433166894461	80.257060493996	23.0
0.039810717055349686	0.0017794911876440546	0.0017794911876440546	44.39544520756947	8.098229707729557	0.36864	1.31072	0.0	-3.088664359020619	43.31508894746488	24.0
0.0630957344480193	0.0023039823214484633	0.0023039823214484633	59.46363338106653	10.651686631775387	0.49152000000000007	1.72032	0.0	-2.248339715728347	22.328377610673066	25.0
0.09999999999999999	0.002924601403291033	0.002924601403291033	80.3061325394045	14.24677279186218	0.65536	2.37568	0.0	-1.5706622326598756	11.105840480593196	26.0
0.1584893192461114	0.0036529308271667496	0.0036529308271667496	108.72700912203244	19.245636735401437	0.90112	3.11296	0.0	-1.0433082795376492	5.359866777597832	27.0
0.2511886431509582	0.0045055186492119915	0.0045055186492119915	147.01679798305585	26.127232852882372	1.2288000000000001	4.42368	0.0	-0.6456263067001874	2.5121583998069985	28.0
0.3981071705534969	0.005504850218244474	0.005504850218244474	198.15258363383325	35.541334695055994	1.6384	5.89824	0.0	-0.35503185414916616	1.1400818885189554	29.0
0.6309573444801929	0.006679955632751613	0.006679955632751613	266.2391441974323	48.418913928911955	2.21184	7.864320000000001	0.0	-0.1499562251598793	0.49816249136325447	30.0
1.0	0.008066087850958189	0.008066087850958189	357.514037705631	66.21129138050374	2.94912	10.48576	0.0	-0.010898294868426943	0.20813298821505843	31.0
1.584893192461114	0.009702088485268111	0.009702088485268111	482.4602006124299	91.38920959152334	3.9321600000000005	14.41792	0.0	0.07920962850775845	0.08257565006302836	32.0
2.5118864315095824	0.011623476483432007	0.011623476483432007	659.9764965321643	128.44464080005918	5.24288	20.31616	0.0	0.134711767725885	0.030870359529953893	33.0
3.981071705534969	0.013849594052383623	0.013849594052383623	925.5231535039499	185.8920583956036	7.53664	28.83584	0.0	0.16689062079637496	0.010666865726094968	34.0
6.30957344480193	0.01636547032241691	0.01636547032241691	1347.4608737210958	280.360465346609	10.48576	41.94304	0.0	0.18383934932832888	0.00317248255745022	35.0
10.0	0.019104270852488503	0.019104270852488503	2060.902378472625	445.20551912269195	16.384	65.536	0.0	0.19089727176995097	0.0005841547248833203	36.0
15.848931924611142	0.021942314995533212	0.021942314995533212	3339.454029392297	749.0030584639071	26.2144	104.8576	0.0	0.1915848283341239	-0.00016782203677480822	37.0
25.118864315095824	0.024718197612540398	0.024718197612540398	5749.970264860305	1335.8039984431973	44.56448	178.25792	0.0	0.18847263014852936	-0.00027823642189929334	38.0
39.81071705534969	0.02727331565028747	0.02727331565028747	10492.423034958016	2514.004846752824	78.64320000000001	335.54432	0.0	0.1835517824779858	-0.00021044965515537998	39.0
