# t	global_u	local_u	bI	η	τs	τc	γI	Λ	∂Λ	idx
0.0	0.0	0.0	7.002398073616265	1.6684745123409386	0.06912	0.1024	0.0	3.6054621206638545e-15	-8.599974499823846e-13	0.0
0.059980000000000006	0.008494471003357068	0.008494471003357068	7.09213787058693	1.6803322899479967	0.06912	0.1024	0.0	0.0003428081157518568	0.07600989431121088	1.0
0.11996000000000001	0.00837789407163518	0.01687236507499225	7.198357297460388	1.6953619157624595	0.07168000000000001	0.1024	0.0	0.0020477392553440053	0.07915757795955003	2.0
0.17994000000000002	0.00824916756158538	0.025121532636577622	7.315352968992258	1.7125095987302648	0.07168000000000001	0.10752	0.0	0.0034653874078455545	0.07606207400855051	3.0
0.23992000000000002	0.008113267823751321	0.033234800460328943	7.441502831072797	1.7313901925233015	0.07168000000000001	0.10752	0.0	0.004502725851052426	0.07443544534700718	4.0
0.29990000000000006	0.007972311964150935	0.04120711242447989	7.5761603885685815	1.7518338406546818	0.07424	0.11264	0.0	0.005258515720843751	0.07498271943768647	5.0
0.35988000000000003	0.007827487705018302	0.049034600129498174	7.719165404721082	1.7737822462878514	0.07424	0.11264	0.0	0.005829223625924082	0.07731758863600226	6.0
0.41986	0.0076794966274420385	0.056714096756940204	7.870664584789515	1.797245764394411	0.07680000000000001	0.11264	0.0	0.006283628899928805	0.08102317428644291	7.0
0.47984000000000004	0.00752875661519364	0.06424285337213384	8.031018811302214	1.8222814445762827	0.07680000000000001	0.11776	0.0	0.006667001356237744	0.08581173067469386	8.0
0.5398200000000001	0.007375515071587326	0.07161836844372119	8.20075260007013	1.8489812011405415	0.07936	0.11776	0.0	0.007008344687293534	0.09151406466674092	9.0
0.5998000000000001	0.007219916125590697	0.07883828456931188	8.38052751352565	1.8774656306435893	0.07936	0.12288000000000002	0.0	0.007326048111030933	0.09804682370801975	10.0
0.65978	0.007062040993084825	0.08590032556239675	8.571130964095804	1.9078812640583362	0.08192	0.12288000000000002	0.0	0.007631683423409768	0.10538587318838806	11.0
0.7197600000000001	0.006901932625201595	0.09280225818759832	8.77347497451484	1.9404000632889202	0.08192	0.128	0.0	0.007932424021207198	0.1135485452218976	12.0
0.7797400000000001	0.0067396109374109284	0.09954186912500926	8.988602508071939	1.9752205168645616	0.08192	0.128	0.0	0.008232545378359348	0.12258280104526433	13.0
0.83972	0.006575082270433016	0.10611695139544225	9.217699488555903	2.0125699810360063	0.08704	0.13312000000000002	0.0	0.008534333408335665	0.132561149974462	14.0
0.8997	0.00640834545458308	0.11252529685002532	9.462112034877201	2.0527081427149954	0.08704	0.13824	0.0	0.008838612116640557	0.14357774023634934	15.0
0.9596800000000001	0.006239395908919277	0.11876469275894459	9.723369078288792	2.0959315689127793	0.09216	0.13824	0.0	0.009145021263444533	0.15574759924745762	16.0
1.01966	0.006068228224916449	0.12483292098386102	10.003210353211507	2.1425794452380824	0.09216	0.14336000000000002	0.0	0.00945212120731021	0.1692074512336674	17.0
1.0796400000000002	0.005894838320924217	0.13072775930478525	10.303621254348538	2.193040668068913	0.09728	0.14848	0.0	0.009757369005440253	0.18411773967028236	18.0
1.13962	0.005719224838676659	0.1364469841434619	10.62687516138818	2.2477625488215907	0.09728	0.15360000000000001	0.0	0.01005698522582392	0.200665764806846	19.0
1.1996000000000002	0.005541390626796122	0.14198837477025805	10.975585498089739	2.307261483530846	0.1024	0.15872	0.0	0.010345716450453565	0.21906987133803035	20.0
1.2595800000000001	0.005361343881327601	0.1473497186515856	11.352769426352666	2.3721360783513363	0.1024	0.16384	0.0	0.010616483336581321	0.2395848208841164	21.0
1.31956	0.005179099462608456	0.1525288181141941	11.761926832979002	2.44308334891847	0.10752	0.16384	0.0	0.010859893415081747	0.26250847891295853	22.0
1.3795400000000002	0.00499468007994509	0.1575234981941392	12.207138101802382	2.5209188566003222	0.11264	0.17408	0.0	0.011063582685806502	0.288190121063212	23.0
1.4395200000000001	0.0048081178197627835	0.16233161601390197	12.693186385319011	2.6066018392546644	0.11776	0.17408	0.0	0.0112113353833705	0.3170406684916826	24.0
1.4995	0.0046194557116812675	0.16695107172558324	13.225711307437649	2.7012668751189275	0.11776	0.18432	0.0	0.01128190742120537	0.34954536929700564	25.0
1.5594800000000002	0.004428749553507561	0.17137982127909085	13.811404472266094	2.8062640526396008	0.12288000000000002	0.19456	0.0	0.011247450122816416	0.3862795267419558	26.0
1.6194600000000001	0.00423607008112216	0.175615891360213	14.45826004508074	2.9232104128815215	0.128	0.2048	0.0	0.011071388024222766	0.4279280945248003	27.0
1.67944	0.004041505385008655	0.17965739674522166	15.175897429767604	3.0540563407450283	0.13824	0.21504	0.0	0.010705541849240654	0.47531031337953056	28.0
1.7394200000000002	0.003845163801909196	0.18350256054713085	15.975985027733465	3.2011723482398935	0.14336000000000002	0.22528	0.0	0.010086198627453958	0.529410766809257	29.0
1.7994	0.0036471773389030976	0.18714973788603392	16.87279743601075	3.3674634157434182	0.14848	0.23552	0.0	0.009128695898053797	0.5914190036192866	30.0
1.8593800000000003	0.003447705732969129	0.19059744361900302	17.883961610373525	3.5565217611353197	0.15872	0.24576000000000003	0.0	0.007719883823185754	0.6627804439320293	31.0
1.9193600000000002	0.0032469413172503967	0.19384438493625342	19.031467423784306	3.7728334764657188	0.16384	0.256	0.0	0.005707517795207483	0.7452625329709832	32.0
1.97934	0.0030451147682519514	0.19688949970450537	20.343053461442885	4.022061825692721	0.17408	0.27648	0.0	0.002885145956976214	0.841041950885588	33.0
