# k	S
0.11780972450961723	0.025152491895731696
0.35342917352885167	0.016766043388360102
0.5890486225480861	0.011975599519359104
0.8246680715673206	0.009536368680585636
1.060287520586555	0.008042798179607171
1.2959069696057894	0.007050022048977723
1.531526418625024	0.006379542064002604
1.7671458676442584	0.0059430220562712984
2.002765316663493	0.005690807558606986
2.2383847656827274	0.005593559504443764
2.474004214701962	0.005634949646796592
2.7096236637211963	0.005808727107835353
2.945243112740431	0.0061178720395241165
3.1808625617596653	0.006575096874072487
3.4164820107789	0.007204624991728701
3.6521014597981343	0.008045590041181674
3.8877209088173683	0.009157818905494098
4.123340357836603	0.010631373102430312
4.358959806855838	0.01260226001241304
4.594579255875072	0.015278587504887265
4.830198704894307	0.018984902066536333
5.065818153913541	0.024239123866636424
5.301437602932776	0.03188981372343572
5.53705705195201	0.04336916528846248
5.772676500971244	0.061176916787343646
6.008295949990479	0.08984464835988898
6.243915399009713	0.1379392029612738
6.479534848028948	0.22236776864067626
6.715154297048182	0.3776413255446331
6.950773746067417	0.6737395173613326
7.186393195086651	1.23375120438597
7.422012644105886	2.160733068879666
7.65763209312512	3.174328924419697
7.8932515421443545	3.4617377233654185
8.12887099116359	2.82517040143873
8.364490440182824	1.9684386359833157
8.600109889202058	1.3333927096935758
8.835729338221292	0.9379493445900052
9.071348787240527	0.6988493723121325
9.306968236259761	0.5519359595493241
9.542587685278995	0.4598273480577697
9.77820713429823	0.4018411578610061
10.013826583317464	0.3664883941188269
10.2494460323367	0.34733713165069396
10.485065481355933	0.3408633050317982
10.720684930375167	0.34534071003020184
10.956304379394401	0.36027077965812615
11.191923828413637	0.3860993086961979
11.427543277432871	0.42408498617865437
11.663162726452105	0.47623165818081103
11.89878217547134	0.5451994667836775
12.134401624490575	0.6340778921850458
12.37002107350981	0.7458409130179482
12.605640522529043	0.8822347946128897
12.841259971548277	1.041858228184602
13.076879420567513	1.217480697963867
13.312498869586747	1.3934705068694415
13.548118318605981	1.5455047403991014
13.783737767625215	1.6453430505495061
14.01935721664445	1.6711386250832772
14.254976665663685	1.6182713283979038
14.49059611468292	1.5024121623326097
14.726215563702153	1.351683008380186
14.961835012721387	1.1941590617329543
15.197454461740623	1.049435820365023
15.433073910759857	0.927136949348345
15.668693359779091	0.8296238401554598
15.904312808798325	0.7554130686062035
16.13993225781756	0.7016278216584956
16.375551706836795	0.6653160971708632
16.61117115585603	0.6440018445836833
16.846790604875263	0.6358313014738548
17.0824100538945	0.6395393092150959
17.31802950291373	0.6543459264555138
17.553648951932967	0.6798257994146375
17.789268400952203	0.7157580184389978
18.024887849971435	0.7619482752232161
18.26050729899067	0.8180103321106115
18.496126748009903	0.8830983611120772
18.73174619702914	0.955597810491651
18.967365646048375	1.0328136055829409
19.202985095067607	1.1107406624851357
19.438604544086843	1.1840514039310035
19.67422399310608	1.2464570186452402
19.90984344212531	1.2915447764452097
20.145462891144547	1.314025124321252
20.38108234016378	1.3110704492442347
20.616701789183015	1.2832327764251745
20.85232123820225	1.2344804955635904
21.087940687221483	1.171257150409985
21.32356013624072	1.1009410604088234
21.55917958525995	1.0303386281798435
21.794799034279187	0.9647140284790174
22.030418483298423	0.907496268850057
22.266037932317655	0.8604942109761681
22.50165738133689	0.8243423315643783
22.737276830356127	0.7989565252423964
22.97289627937536	0.7838885938335689
23.208515728394595	0.7785537487387915
23.444135177413827	0.7823481710966572
23.679754626433063	0.7946850046586112
23.9153740754523	0.8149737478985799
24.15099352447153	0.842561132952397
24.386612973490767	0.87664662644288
24.62223242251	0.9161845051358417
24.857851871529235	0.9597871517819885
25.09347132054847	1.005649831065575
25.329090769567703	1.0515236262850005
25.56471021858694	1.094766836280193
25.800329667606174	1.1325009988773218
26.035949116625407	1.1618809379453265
26.271568565644642	1.1804571306569318
26.507188014663875	1.1865688130568275
26.74280746368311	1.179672561085729
26.978426912702346	1.1605041746131295
27.21404636172158	1.1310061779424925
27.449665810740814	1.0940239448462727
27.68528525976005	1.052851305084352
27.920904708779283	1.0107529312069206
28.15652415779852	0.9705832316124972
28.39214360681775	0.9345688681370357
28.627763055836986	0.904256569545121
28.863382504856222	0.8805810799251542
29.099001953875455	0.8639925239215134
29.33462140289469	0.8545916979087419
29.570240851913923	0.8522414824140673
29.80586030093316	0.8566411806052099
30.041479749952394	0.8673631620967286
30.277099198971626	0.8838578265542864
30.512718647990862	0.9054357865269564
30.748338097010098	0.9312374922550334
30.98395754602933	0.9602015985365219
31.219576995048566	0.9910445160823759
31.4551964440678	1.0222642600731406
31.690815893087034	1.0521807904742755
31.92643534210627	1.0790212387864369
32.162054791125506	1.1010508578544402
32.39767424014474	1.1167394864715405
32.63329368916397	1.124940815041417
32.86891313818321	1.125051588827958
33.10453258720244	1.1171147312763314
33.340152036221674	1.1018376777281764
33.57577148524091	1.0805149680271429
33.811390934260146	1.0548676617996777
34.04701038327938	1.0268332370688737
34.28262983229861	0.9983502617287536
34.51824928131785	0.9711785239458358
34.75386873033708	0.9467799853530456
34.989488179356314	0.9262660471872187
35.225107628375554	0.9103999304983312
35.460727077394786	0.8996340664348417
35.69634652641402	0.8941615609782887
35.93196597543326	0.8939653669472785
36.16758542445249	0.8988553955641051
36.40320487347172	0.9084899928135453
36.638824322490954	0.9223829403086365
36.874443771510194	0.939900378780387
37.110063220529426	0.9602541564425161
37.34568266954866	0.9824993572787686
37.5813021185679	1.0055441457192862
37.81692156758713	1.0281792595655284
38.05254101660636	1.0491320695625679
38.2881604656256	1.0671458744984756
38.523779914644834	1.0810793127841178
38.759399363664066	1.090014479587673
