# z G G_prime G_double_prime
1.5999999999999998e6	9.604099742140811e6	5772.707983225007	9.60409800724835e6
1.0666666666666665e6	6.407477106202553e6	10970.351209099059	6.407467714932647e6
799999.9999999999	4.809159686646212e6	12761.32996850844	4.809142755223692e6
640000.0	3.8501848641264145e6	13644.556720881086	3.850160686779193e6
533333.3333333333	3.210877363501145e6	14164.35446493504	3.2108461212749914e6
457142.8571428571	2.754234141439099e6	14504.867251227766	2.7541959470405867e6
399999.99999999994	2.411754588297007e6	14744.643957156404	2.411709516016853e6
355555.55555555556	2.1453833141158363e6	14922.515271072494	2.145331415661607e6
320000.0	1.9322873517701714e6	15059.764532995234	1.9322286648591033e6
290909.0909090909	1.7579367770457524e6	15168.986469884409	1.7578713303138781e6
266666.6666666666	1.6126450569626556e6	15258.08937798841	1.6125728729129173e6
246153.84615384613	1.489706179714771e6	15332.279270377183	1.4896272765671127e6
228571.42857142855	1.3843301674639746e6	15395.118091173137	1.3842445603612806e6
213333.3333333333	1.2930043893609538e6	15449.122434615421	1.292912091181258e6
199999.99999999997	1.2130943851599842e6	15496.119238630994	1.2129954070791951e6
188235.29411764705	1.1429534672231972e6	16752.53350964935	1.1428306877479868e6
177777.77777777778	1.080395152442446e6	17040.094423256334	1.0802607650947906e6
168421.05263157893	1.0243533114807901e6	17042.303733836645	1.0242115341203224e6
160000.0	973892.2632953746	16968.778357155403	973744.4228685744
152380.95238095237	928228.2337453907	16882.537972598755	928074.6919476317
145454.54545454544	886711.5385119112	16801.383563177307	886552.3481670575
139130.4347826087	848802.7704743568	16729.35893545173	848637.8919860652
133333.3333333333	814051.5370461153	16666.497393713547	813880.9082610109
128000.0	782079.2092753191	16611.810081592677	781902.7671945671
123076.92307692306	752565.3009610855	16564.173344639923	752382.9878273816
118518.51851851851	725236.7612891304	16522.568389531334	725048.5257270443
114285.71428571428	699859.5250258086	16486.12632714873	699665.3217132286
110344.8275862069	676231.7987674255	16454.118849209925	676031.5877509896
106666.66666666666	654178.6857880752	16425.93702873981	653972.4317829774
103225.80645161291	633547.8497297332	16401.070366455002	633335.5214955207
99999.99999999999	614205.9907331937	16379.088956424754	613987.560539708
94117.64705882352	578874.0160587621	16110.272979700112	578649.7952756222
88888.88888888889	547523.4328652901	16093.533651368905	547286.8605322113
84210.52631578947	519471.9250650654	16081.934032122354	519222.9312430176
80000.0	494224.70954458334	16074.201377509307	493963.2411166878
76190.47619047618	471381.24793046224	16069.455728183753	471107.2632565538
72727.27272727272	450613.8187751811	16067.052907087713	450327.2848518426
69565.21739130435	431651.68673417566	16066.506074245235	431352.57741553505
66666.66666666666	414269.23128400824	16067.439973246113	413957.52603540046
64000.0	398276.9249450242	16069.561544348371	397952.6079012887
61538.46153846153	383514.3933269532	16072.639470537131	383177.4525587213
59259.259259259255	369845.017272586	16076.489669374958	369495.44419555424
57142.85714285714	357151.6914885723	16080.964469510947	356789.4803870745
55172.41379310345	345333.4606205813	16085.944681036066	344958.6082530848
53333.33333333333	334302.8279765001	16091.333445658638	333915.33325234713
51612.903225806454	323983.585108797	16097.051683107604	323583.4488150784
49999.99999999999	314309.0482553972	16103.03443550834	313896.2728309822
47058.82352941176	296606.7270388953	15878.174356101961	296181.42092954274
44444.444444444445	280927.1073893912	15904.123586083175	280476.55609538767
42105.26315789473	266897.34917845816	15929.42225752008	266421.5616368717
40000.0	254269.93625508287	15953.793846765426	253768.9440121837
38095.23809523809	242844.53194956924	15977.194460338165	242318.37725393815
36363.63636363636	232457.2330316679	15999.652067498679	231905.96439604167
34782.608695652176	222972.64244968735	16021.215560332546	222396.31276836735
33333.33333333333	214277.92848300518	16041.937592349199	213676.59411655515
32000.0	206278.31136293162	16061.869482326701	205652.03156661318
30769.230769230766	198893.59168936612	16081.059077345211	198242.42823887934
29629.629629629628	192055.45058632662	16099.55066949716	191379.46746753488
28571.42857142857	185705.328239378	16117.384665408175	185004.59142421948
27586.206896551725	179792.7414978775	16134.598122244199	179067.31873448117
26666.666666666664	174273.93778686083	16151.224686300287	173523.89844880527
25806.451612903227	169110.80967999692	16167.29518298234	168336.2246133923
24999.999999999996	164270.01283767843	16182.837590942212	163470.9542554769
23529.41176470588	155385.3870923863	15975.420644818036	154561.9761036713
22222.222222222223	147539.94913673433	16016.112287499991	146668.0631169047
21052.631578947367	140519.2952572718	16054.540953360814	139599.1549199965
20000.0	134199.589957675	16090.422083809965	133231.48374904838
19047.619047619046	128480.65556329335	16123.849532285894	127464.89842397327
18181.81818181818	123280.55048207515	16155.005285185065	122217.46982898607
17391.304347826088	118531.59098715296	16184.076340839198	117421.52160034212
16666.666666666664	114177.37598838274	16211.231028679538	113020.65818303882
16000.0	110170.52942167045	16236.617079409889	108967.50808781381
15384.615384615383	106470.96394976226	16260.361982677465	105221.98816114373
14814.814814814814	103044.53137306309	16282.577103340444	101749.95394970926
14285.714285714284	99861.96178486237	16303.359097808685	98522.13910410804
13793.103448275862	96898.02274980016	16322.793395214088	95513.31440484068
13333.333333333332	94130.84616432003	16340.95494567746	92701.614824523
12903.225806451614	91541.3858637098	16357.910855692204	90067.99697054352
12499.999999999998	89112.97648631973	16373.720618807603	87595.79813751689
11764.70588235294	84633.87753049965	16173.719176424744	83074.0876197251
11111.111111111111	80695.83302716886	16211.02485661138	79050.74408914216
10526.315789473683	77169.89233614052	16244.761114264755	75440.70532220646
10000.0	73994.02785462231	16274.22726136244	72182.1701336012
9523.809523809523	71118.14834323565	16299.466952587274	69225.12839158904
9090.90909090909	68501.30981137749	16320.717759778363	66528.6676379437
