# τ	Fs	F	Δζ	ΔG	Δr²
0.0	1.0	1.0	3692.7233678558378	432.89883064947054	0.0
3.125e-7	0.9999838611727643	0.9999856384277611	3690.8423144160097	432.6914631628905	3.125e-7
6.25e-7	0.9999677278724864	0.9999712817483111	3688.962893856015	432.4842746467119	6.24819691241804e-7
9.375000000000001e-7	0.9999516053584044	0.9999569346417427	3687.0852215880814	432.2772740592587	9.367790526998352e-7
1.25e-6	0.9999354936196618	0.999942597098429	3685.209295674517	432.07046119747025	1.2483785797472322e-6
1.5625e-6	0.9999193926436983	0.9999282691072271	3683.335114153225	431.8638358575274	1.5596188709588336e-6
1.8750000000000003e-6	0.99990330241797	0.9999139506570082	3681.462675064576	431.65739783585786	1.8705005238965014e-6
2.1875000000000002e-6	0.9998872229299498	0.9998996417366587	3679.5919764513965	431.4511469291349	2.1810241350509003e-6
2.5e-6	0.9998711541671277	0.9998853423350802	3677.7230163589543	431.24508293427687	2.491190299843438e-6
2.8125e-6	0.9998550961170104	0.999871052441189	3675.8557928349974	431.0392056484478	2.8009996126282382e-6
3.125e-6	0.9998390487671217	0.9998567720439164	3673.9903039297124	430.83351486905684	3.110452666694108e-6
3.4375e-6	0.999823012105002	0.999842501132209	3672.1265476957265	430.628010393757	3.419550054266504e-6
3.7500000000000005e-6	0.9998069861182087	0.9998282396950278	3670.264522188129	430.42269202044645	3.7282923665094916e-6
4.0625000000000005e-6	0.999790970794316	0.9998139877213489	3668.40422546443	430.21755954726683	4.036680193527706e-6
4.3750000000000005e-6	0.9997749661209147	0.9997997452001632	3666.545655584595	430.01261277260284	4.344714124368302e-6
4.6875000000000004e-6	0.9997589720856124	0.999785512120477	3664.68881061101	429.80785149508404	4.652394747022906e-6
5.0e-6	0.9997429886760335	0.9997712884713106	3662.833688608502	429.60327551358125	4.959722648429562e-6
5.3125e-6	0.9997270228511193	0.9997570804370751	3660.9806922902953	429.3989243894182	5.266464549296242e-6
5.625e-6	0.9997110699387081	0.9997428838656693	3659.1295490611683	429.1947713289398	5.572777572394859e-6
5.9375e-6	0.9996951283728781	0.9997286973654873	3657.280166787629	428.9908072697337	5.8787144992992876e-6
6.25e-6	0.9996791976233629	0.9997145204653036	3655.432513482099	428.78702905850696	6.184293317091152e-6
6.5625e-6	0.9996632775052011	0.9997003530007638	3653.586577204071	428.58343551134965	6.48952040952806e-6
6.875e-6	0.9996473679485706	0.9996861949098355	3651.742352695919	428.38002610081134	6.79439829041267e-6
7.1875e-6	0.9996314689220491	0.9996720461646127	3649.899836928897	428.1768005183685	7.09892818237684e-6
7.500000000000001e-6	0.9996155804070277	0.9996579067485758	3648.0590276186945	427.97375852861484	7.40311087680879e-6
7.8125e-6	0.99959970238918	0.9996437766490112	3646.2199227307174	427.7708999206698	7.706947020607188e-6
8.125000000000001e-6	0.9995838348556192	0.9996296558544857	3644.382520315177	427.5682244919873	8.010437211803951e-6
8.4375e-6	0.9995679777939485	0.9996155443540005	3642.5468184521483	427.3657320429559	8.313582031452038e-6
8.750000000000001e-6	0.999552131191946	0.9996014421367125	3640.71281523325	427.1634223751028	8.61638205426009e-6
9.0625e-6	0.999536295037459	0.9995873491918407	3638.8805087555293	426.961295290493	8.918837852139912e-6
9.375000000000001e-6	0.9995204693183685	0.999573265508633	3637.0498971194465	426.75935059152965	9.220949995390677e-6
9.6875e-6	0.9995046540225779	0.9995591910763575	3635.220978428157	426.5575880808867	9.522719053095084e-6
1.0e-5	0.9994888491380088	0.9995451258842981	3633.3937507873197	426.3560075614873	9.82414559325269e-6
